name,link,price
Libra,https://www.glassesshop.com/eyeglasses/fp2047,$24.95
Benjamin,https://www.glassesshop.com/eyeglasses/fm1466,$29.95
Prairie,https://www.glassesshop.com/eyeglasses/fz1461,$34.95
Lyndon,https://www.glassesshop.com/eyeglasses/fm1286,$19.95
Taurus,https://www.glassesshop.com/eyeglasses/fp2134,$24.95
Haywood,https://www.glassesshop.com/eyeglasses/fm1354,$29.95
Gulfport,https://www.glassesshop.com/eyeglasses/fp2108,$19.95
Hayden,https://www.glassesshop.com/eyeglasses/fp1237,$24.95
Joplin,https://www.glassesshop.com/eyeglasses/fz1491,$24.95
Gulfport,https://www.glassesshop.com/eyeglasses/fp2106,$19.95
Riverside,https://www.glassesshop.com/eyeglasses/fm1385,$19.95
Martin,https://www.glassesshop.com/eyeglasses/sm0795,$29.95
Taurus,https://www.glassesshop.com/eyeglasses/fp2071,$24.95
Saxton,https://www.glassesshop.com/eyeglasses/fm1499,$59
Taurus,https://www.glassesshop.com/eyeglasses/fp2043,$24.95
Hume,https://www.glassesshop.com/eyeglasses/fz1297,$29.95
Willie,https://www.glassesshop.com/eyeglasses/sm0860,$19.95
Rochester,https://www.glassesshop.com/eyeglasses/fm1263,$29.95
Oberlin,https://www.glassesshop.com/eyeglasses/fp2035,$19.95
Oberlin,https://www.glassesshop.com/eyeglasses/fp2034,$19.95
Bronx,https://www.glassesshop.com/eyeglasses/fp1979,$12.95
Oberlin,https://www.glassesshop.com/eyeglasses/fp2033,$19.95
Oberlin,https://www.glassesshop.com/eyeglasses/fp2032,$19.95
Cooksville,https://www.glassesshop.com/eyeglasses/fp2010,$12.95
Asheville,https://www.glassesshop.com/eyeglasses/fp1992,$12.95
Rainbow,https://www.glassesshop.com/eyeglasses/fp2013,$19.95
Miami,https://www.glassesshop.com/eyeglasses/fz1391,$29.95
Lindsay,https://www.glassesshop.com/eyeglasses/fz1382,$29.95
Whittier,https://www.glassesshop.com/eyeglasses/fz1313,$29.95
Asheville,https://www.glassesshop.com/eyeglasses/fp1991,$12.95
Dubois,https://www.glassesshop.com/eyeglasses/ft0326,$49.95
Marlowe,https://www.glassesshop.com/eyeglasses/sup0711,$19.95
Horatio,https://www.glassesshop.com/eyeglasses/sm0874,$19.95
Maltz,https://www.glassesshop.com/eyeglasses/fz1370,$29.95
Celia,https://www.glassesshop.com/eyeglasses/fm1389,$19.95
Celia,https://www.glassesshop.com/eyeglasses/fm1387,$19.95
Owen,https://www.glassesshop.com/eyeglasses/fp1651,$19.95
Annabel,https://www.glassesshop.com/eyeglasses/ft0304,$39.95
Wilker,https://www.glassesshop.com/eyeglasses/sup0622,$29.95
Pete,https://www.glassesshop.com/eyeglasses/fz1207,$29.95
Westlake,https://www.glassesshop.com/eyeglasses/fz1437,$44.95
Genevieve,https://www.glassesshop.com/eyeglasses/fz1268,$34.95
Vivian,https://www.glassesshop.com/eyeglasses/fz1250,$29.95
Burke,https://www.glassesshop.com/eyeglasses/fm1243,$24.95
Jean,https://www.glassesshop.com/eyeglasses/fp1719,$24.95
Derrick,https://www.glassesshop.com/eyeglasses/fp1661,$24.95
Prince,https://www.glassesshop.com/eyeglasses/fp1438,$19.95
Mandy,https://www.glassesshop.com/eyeglasses/fz1088,$29.95
Haggai,https://www.glassesshop.com/eyeglasses/fp1775,$24.95
Poppy,https://www.glassesshop.com/eyeglasses/fz1032,$29.95
Butler,https://www.glassesshop.com/eyeglasses/fp1841,$19.95
Oneida,https://www.glassesshop.com/eyeglasses/ft0405,$44.95
Amelia,https://www.glassesshop.com/eyeglasses/fm1468,$34.95
Libra,https://www.glassesshop.com/eyeglasses/fp2046,$24.95
Gulfport,https://www.glassesshop.com/eyeglasses/fp2107,$19.95
Lagrange,https://www.glassesshop.com/eyeglasses/fz1411,$29.95
Miami,https://www.glassesshop.com/eyeglasses/fz0981,$29.95
Glenview,https://www.glassesshop.com/eyeglasses/ft0364,$49.95
Evanston,https://www.glassesshop.com/eyeglasses/sup0791,$29.95
